pos;ngram_range;min_df;norm;sublinear_tf;class_weight;penalty;C;fit_intercept;intercept_scaling;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.3034388065338135;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.2887766361236572;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.353592586517334;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l1;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.5470106124877929;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.3975559711456299;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.39101881980895997;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.369755220413208;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l1;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.369995641708374;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.5094017505645752;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.5061434745788574;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.4994654655456543;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l1;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.5938194751739502;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.6006050109863281;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.598095703125;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.598432970046997;385
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);1;l1;True;None;l2;0.1;True;1.0;0.5244322443769315;0.5258528962342128;0.5189112825163397;0.5518037579487379;0.531076497365812;0.5304153356884068;0.5472108364105225;249
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);1;l1;False;None;l2;0.1;True;1.0;0.5247367014617986;0.5253034564865291;0.5184348030992962;0.5508380855754563;0.5316110348496337;0.5301848162945428;0.568061113357544;251
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);1;l2;True;None;l2;0.1;True;1.0;0.6208156860796255;0.6271362251313538;0.6328852729830484;0.6335472044898108;0.6340165985460984;0.6296801974459874;0.6397717475891114;75
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);1;l2;False;None;l2;0.1;True;1.0;0.6206704553703013;0.625499482765359;0.628461478381201;0.6335413813858454;0.6338834372006754;0.6284112470206764;0.5393574714660645;81
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);1;l1;True;None;l2;0.1;True;1.0;0.4788301676775416;0.48542485638483535;0.46816012895596426;0.49725995576469656;0.48202388657304196;0.48233979907121594;0.708397626876831;253
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);1;l1;False;None;l2;0.1;True;1.0;0.47775288078868744;0.4843722322331155;0.46865317774826437;0.497796133904222;0.48256973848682083;0.48222883263222205;0.7369187355041504;255
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);1;l2;True;None;l2;0.1;True;1.0;0.616475679197218;0.6176988147597957;0.6129755673986017;0.629750770236128;0.6159499056204988;0.6185701474424484;0.7127311706542969;135
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 2);1;l2;False;None;l2;0.1;True;1.0;0.6153511913736883;0.6145862753768796;0.6128510908403706;0.6273091455744313;0.6178457789567879;0.6175886964244316;0.7239511489868165;145
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);5;l1;True;None;l2;0.1;True;1.0;0.5571710520823044;0.5568775844660181;0.5487968681457442;0.5750620080915301;0.561867726871156;0.5599550479313506;0.5376429080963134;241
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);5;l1;False;None;l2;0.1;True;1.0;0.5541180665779163;0.5564047716503467;0.5491867322831198;0.5750666840456876;0.559918393798849;0.558938929671184;0.5544991016387939;243
