pos;ngram_range;min_df;norm;sublinear_tf;class_weight;penalty;C;fit_intercept;intercept_scaling;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.6713180065155029;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.6524153709411621;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);1;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.6614824295043945;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l1;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.870846176147461;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.8480266571044922;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.8663203239440918;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);1;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.8513864994049072;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l1;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.77144455909729;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.673049020767212;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.6598991394042969;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.6569129943847656;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l1;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.775666332244873;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l1;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.8008651733398438;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l2;True;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.7875295162200928;385
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l2;False;None;l1;0.1;True;1.0;None;None;None;None;None;None;0.7896473407745361;385
{'CONJ', 'ADJ', 'ADV', 'NOUN', 'SCONJ', 'AUX', 'NUM', 'SYM', 'DET', 'PROPN', 'INTJ', 'VERB', 'PRON', 'ADP', 'PART', 'PUNCT', 'X'};(1, 1);1;l1;True;None;l2;0.1;True;1.0;0.48081200546016495;0.4727455108845796;0.4818634020363769;0.4875075621526813;0.4822016548939787;0.4810260270855563;0.7012598514556885;245
