ngram_range;min_df;max_df;norm;sublinear_tf;penalty;C;fit_intercept;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(1, 3);5;0.01;l1;True;l2;100.0;True;0.1;balanced;0.4158317813979633;0.43276429763894586;0.41445742249333234;0.4283096375333562;0.4388039564090915;0.4260334190945378;1.020232582092285;64
(2, 3);1;0.001;None;True;l1;0.1;True;1000;None;0.11924554093977908;0.10259066503608952;0.12085923467987525;0.11283363039896788;0.12417238391126917;0.11594029099319618;0.33840236663818357;100
(1, 3);5;0.1;l2;True;l1;0.1;True;0.001;None;0.5737472360024329;0.5645961739158996;0.5822040865774071;0.579036055826343;0.5934740885147576;0.578611528167368;0.17313232421875;13
(2, 2);3;0.1;None;True;l2;0.001;True;0.01;None;0.07654313067203829;0.0916617162385566;0.08375747025573349;0.0700279335397959;0.10121137296626549;0.08464032473447795;0.09761500358581543;110
(1, 3);5;1.0;None;False;l1;100.0;True;1000;balanced;0.5114993863310859;0.5102674955910421;0.49240876779373577;0.5028540068824393;0.528268943036946;0.5090597199270499;2.53518385887146;45
(2, 3);1;1.0;l1;False;l2;1000.0;True;0.01;balanced;0.15608489684078208;0.15331797265040145;0.15282664319956862;0.16197628371343653;0.17894575143505007;0.16063030956784777;21.45795726776123;84
(3, 3);25;0.1;None;False;l1;1000.0;True;0.1;None;0.003660613526319522;-0.008392384044457664;0.0;-0.007588146406970171;-0.009436331295871729;-0.004351249644196009;0.06629981994628906;181
(3, 3);3;0.01;l2;True;l2;1000.0;True;1;balanced;0.006639906560873391;0.010939299264168399;0.007389286272592721;0.002215792106818595;-0.0028108343389132264;0.004874689973107976;0.0775986671447754;156
(2, 2);5;1.0;None;True;l1;0.01;True;1000;balanced;0.08538656814957454;0.09420772232436844;0.09177029171020387;0.1035733514318421;0.10361285610787005;0.0957101579447718;0.07954297065734864;102
(1, 3);10;0.01;None;True;l2;0.001;True;0.1;balanced;0.5031140166236856;0.49553749914331807;0.4915240596956151;0.4959461346815743;0.49258138489355363;0.4957406190075494;0.20274786949157714;51
(1, 2);10;1.0;l2;True;l2;1.0;True;0.001;None;0.5966316349247113;0.5893787447789267;0.602983968078412;0.5904193872460348;0.6029420268798272;0.5964711523815824;0.20240998268127441;6
(1, 1);5;0.1;None;True;l2;1000.0;True;100;None;0.5472928413059899;0.5447819870041533;0.5472716938196257;0.542998777229884;0.5717759048069586;0.5508242408333223;0.3697226524353027;24
(3, 3);3;0.1;None;True;l2;0.001;True;0.01;balanced;0.005852510806696778;0.00775806066597544;0.007389286272592721;-0.001638415201255679;-0.003338615606056861;0.00320456538759048;0.07478666305541992;158
(3, 3);10;0.1;l1;True;l2;0.01;True;100;balanced;0.0008343590136110199;-0.0016317171531592092;0.0;-0.005403883747590295;-0.004247156527348998;-0.002089679682897497;0.07059750556945801;180
(2, 3);25;1.0;l2;False;l1;1000.0;True;0.1;balanced;0.049481722842600676;0.07342061690149976;0.06554328585554357;0.07505303751568221;0.08092857184674736;0.06888544699241471;0.11318998336791992;127
(3, 3);1;0.01;l2;True;l2;0.01;True;10;None;0.02679542923793689;0.034517365428406194;0.015715102280878836;0.006073824595817181;0.029439947366505227;0.022508333781908866;0.15460071563720704;153
(2, 3);3;0.1;l2;False;l2;1.0;True;0.1;None;0.0889490453305378;0.09135230876901321;0.10592865928707862;0.06757495910021291;0.09330443211095651;0.0894218809195598;0.18587641716003417;105
(2, 2);5;0.001;l2;True;l2;100.0;True;0.1;None;0.04079270006945386;0.03345178976951226;0.025972073038380065;0.004224334532188025;0.03945919201949007;0.028780017885804855;0.12184133529663085;151
(1, 3);25;0.01;None;True;l2;0.01;True;0.01;None;0.42958502897510015;0.4284843175083179;0.4294821061625729;0.4221907590698602;0.4175390877530177;0.4254562598937738;0.2130103588104248;65
(1, 1);10;0.1;l2;True;l2;0.001;True;100;None;0.279314165169311;0.25857224607319035;0.2905462807724687;0.28431014723725595;0.2952201905720257;0.28159260596485036;0.07952790260314942;80
(1, 2);10;0.01;None;False;l1;0.01;True;0.001;balanced;0.46860587127679854;0.46312941434112237;0.44491040901165924;0.4718915955560124;0.4638381743689333;0.46247509291090516;0.13891148567199707;57
(2, 3);25;0.1;None;False;l2;100.0;True;0.01;balanced;0.04900153408416965;0.07748755483507729;0.05861637728915177;0.07183521879727794;0.07716189424555056;0.06682051585024544;0.6935272216796875;129
(1, 3);3;0.1;l1;True;l1;0.1;True;0.01;balanced;0.5818007047407229;0.5654178864604299;0.5702971948245668;0.5848144939926628;0.5736259717209042;0.5751912503478573;0.15356125831604003;14
(3, 3);1;1.0;l2;False;l2;10.0;True;100;None;0.05057897956407218;0.046648011821386136;0.029528102475695834;0.005570349061325472;0.038306176909278296;0.03412632396635158;0.2274608612060547;146
(1, 1);3;0.001;l1;True;l2;1000.0;True;10;None;0.08884996868975417;0.08977728764495102;0.09873666951417129;0.08526720173144077;0.09341730881254244;0.09120968727857194;0.3402683734893799;104
(2, 2);10;1.0;l1;True;l1;0.01;True;1;balanced;0.07629004611611852;0.08847182519890179;0.06819953032401979;0.0747468094947181;0.07151867770679689;0.07584537776811101;0.0726320743560791;118
(1, 2);25;0.01;l1;False;l2;1.0;True;10;balanced;0.4032492227106171;0.42353215931990823;0.41388398547743016;0.4146560102290301;0.40465891506451007;0.4119960585602991;0.1770662784576416;75
(2, 3);1;1.0;None;True;l2;1000.0;True;0.01;None;0.15286063723644805;0.1410350160852609;0.1488808313380257;0.13473558625263915;0.14580406232976478;0.1446632266484277;3.696120023727417;91
(1, 3);25;0.001;l1;False;l2;0.001;True;0.001;balanced;None;None;None;None;None;None;0.09250154495239257;185
(1, 3);3;0.001;l2;True;l1;0.01;True;1;None;0.0;0.0;0.0;0.0;0.0;0.0;0.13510289192199706;164
(3, 3);3;0.001;None;True;l1;100.0;True;100;None;0.004075767378185464;0.011877262694327801;-0.0037142645805014617;-0.0005403727319052431;0.0037892438181698572;0.0030975273156552837;0.06460046768188477;159
(3, 3);1;0.01;l1;True;l2;100.0;True;0.01;balanced;0.050278968572900165;0.04464602081070773;0.03209240414876966;0.005405622869140437;0.04112568524078024;0.03470974032845965;1.1524028778076172;145
(1, 2);3;0.01;None;True;l2;1000.0;True;100;balanced;0.4224171334277591;0.4441806995286832;0.40214708502767854;0.41806081666101597;0.42891400896471943;0.42314394872197125;0.8977761268615723;66
(1, 2);10;1.0;l2;True;l2;100.0;False;None;balanced;0.53951669582073;0.5497233554662385;0.5403781391959208;0.5405503527987413;0.5620838530713604;0.5464504792705982;0.589750099182129;26
(1, 3);25;0.001;l2;True;l2;10.0;True;100;balanced;None;None;None;None;None;None;0.09370203018188476;185
(3, 3);5;0.1;None;True;l2;1000.0;True;10;balanced;0.0012372390148208798;-0.0037573554236071103;0.017844301829110613;-0.009894763033284735;-0.0054314026895447495;-3.960605010202428e-07;0.07316823005676269;177
(1, 1);10;0.001;None;False;l1;100.0;True;0.001;balanced;0.05408114304142553;0.040613570424584855;0.034767192400032565;0.01951967079232862;0.036856642877926185;0.03716764390725955;0.04784550666809082;143
(1, 2);5;0.01;l2;True;l1;10.0;True;0.001;balanced;0.44976629188688516;0.4596195923241107;0.42979748764681563;0.4441250267542511;0.4440662256421873;0.44547492485084994;1.4844837188720703;61
(1, 3);10;1.0;None;True;l1;1000.0;True;0.001;None;0.5604092585660756;0.5650452538590175;0.5700824240812841;0.5602907894515311;0.5767596252902987;0.5665174702496414;3.268210458755493;18
(2, 2);1;0.1;l2;True;l2;100.0;True;100;balanced;0.1723222490951755;0.15970397032869968;0.15712851897834576;0.15239062886462765;0.19001268447096198;0.1663116103475621;0.30861625671386717;83
(1, 3);3;0.01;l2;True;l1;1000.0;True;0.001;balanced;0.36969135662714747;0.3906782893852818;0.35654216298809344;0.3706176126736691;0.382995796095434;0.37410504355392515;22.491931343078612;77
(1, 2);1;0.001;l1;False;l1;1000.0;True;0.01;None;0.14843143107117215;0.15024963195358365;0.14787338665052066;0.1391494263763122;0.14361387211247464;0.14586354963281267;9.06287178993225;90
(1, 3);1;0.1;None;False;l1;0.01;True;0.1;None;0.6222250461876591;0.6158453731769767;0.6251232209590927;0.6298178364770208;0.6329370595021971;0.6251897072605892;0.3693097114562988;3
(1, 2);25;0.01;l2;False;l2;0.1;True;1000;None;0.41645190591414954;0.4073602215315286;0.4236670967526099;0.41668638842523936;0.4259597162632564;0.4180250657773568;0.16637144088745118;72
(1, 3);3;0.1;l1;True;l2;1000.0;True;0.001;None;0.4413021637441187;0.4525062466436978;0.4300945869685507;0.4337426023057054;0.453103544369397;0.44214982880629394;6.650701713562012;62
(3, 3);10;0.1;None;False;l1;100.0;True;10;None;0.009808537423288856;-0.008392384044457664;-0.014981101171589586;-0.007588146406970171;-0.008392384044457664;-0.005909095648837246;0.06834769248962402;184
(1, 3);25;0.1;l2;False;l2;100.0;True;1000;None;0.5496121858647692;0.5381134679577336;0.5516697393681183;0.546376330294764;0.5443950776322565;0.5460333602235283;0.20174384117126465;27
(2, 3);5;0.001;l1;False;l1;10.0;True;100;None;0.04223960619186006;0.03206395776062935;0.02582595659240201;0.004731758166871785;0.03817215421551637;0.028606686585455916;0.11217141151428223;152
(2, 3);25;0.001;l2;False;l2;0.1;False;None;balanced;None;None;None;None;None;None;0.07861852645874023;185
(1, 1);3;0.001;l1;True;l2;100.0;True;1;None;0.08879118807380496;0.08876389901956003;0.10213309915040894;0.0853661442060216;0.09585014638954992;0.09218089536786908;0.3803536891937256;103
(1, 3);25;1.0;None;False;l1;1.0;True;0.01;None;0.5256983465829225;0.5370122536528001;0.5565028034067586;0.5383610985558629;0.5499908569913399;0.5415130718379367;0.8607221603393554;29
(3, 3);1;1.0;None;True;l1;1.0;True;1;balanced;0.03911267596778388;0.047749119767467554;0.023067427479002003;0.012714433532342816;0.02842233751140589;0.030213198851600433;0.5567202091217041;150
(1, 2);1;1.0;None;True;l2;10.0;True;0.01;balanced;0.5262071994507861;0.5352710915270991;0.5035920719312436;0.5500846806073485;0.5340706535179058;0.5298451394068766;375.381253528595;39
(2, 2);10;0.1;l2;False;l2;100.0;True;10;balanced;0.06279963716403626;0.08461180107429007;0.08007730976191242;0.08936192690434337;0.08918234204666264;0.08120660339024896;0.09629688262939454;113
(1, 2);1;0.001;l2;False;l2;10.0;False;None;None;0.1334795938828113;0.1545622922270063;0.14040307664114912;0.14729474738114898;0.14427906681708255;0.14400375538983967;0.6168675422668457;93
(2, 3);1;0.1;None;False;l1;0.1;True;0.1;None;0.14209269269722996;0.1267704080404136;0.1440739650966496;0.14116402030823422;0.15177692276722127;0.1411756017819497;92.81836862564087;94
(1, 1);25;0.1;None;False;l2;100.0;True;100;None;0.5250390493793773;0.5328827135349129;0.5466693205801785;0.5397699652050735;0.5420899734134544;0.5372902044225993;0.16755247116088867;34
(1, 1);25;1.0;None;True;l1;1.0;True;0.1;None;0.5300798894241565;0.5323187068114191;0.5504046399238294;0.5377371591480504;0.5418472495813293;0.538477528977757;0.15290484428405762;33
(1, 2);10;0.001;l1;True;l1;100.0;True;1000;None;0.06772835227378093;0.0564521196642575;0.0478262925065565;0.023059966576365408;0.05180344328067562;0.049374034860327196;0.09252138137817383;139
(2, 3);25;0.1;l2;False;l2;0.001;True;0.01;None;0.05103646496711835;0.07286557735356815;0.07816690237223727;0.03460587675181985;0.05963000539543129;0.059260965368034976;0.11092081069946289;135
(1, 1);3;0.01;l1;False;l1;10.0;True;1;balanced;0.428611416444123;0.42701002965243334;0.408462732682831;0.4258186707958772;0.42394691685285635;0.4227699532856241;0.4268057346343994;68
(1, 3);1;0.001;None;False;l1;0.01;True;10;None;0.12941205146784562;0.12803477312906844;0.11658278128913215;0.10614160756400262;0.1085166284766141;0.11773756838533259;0.26369614601135255;99
(2, 2);5;0.01;l1;True;l1;10.0;False;None;None;0.05702973835526179;0.07304290171947786;0.058281120829750524;0.047422454927570835;0.06513449017208463;0.06018214120082913;0.0758479118347168;133
(1, 2);3;0.001;l2;False;l2;0.001;True;100;balanced;0.0636617183436781;0.04613340983146758;0.058509764887722165;0.07389014708438675;0.061255356315033045;0.06069007929245753;0.12043113708496093;132
(1, 1);1;0.01;l2;False;l1;0.01;True;10;None;0.08456073030965662;0.07957210910916908;0.08558922781051906;0.06564714495540774;0.07791821905325455;0.07865748624760141;0.0596522331237793;117
(1, 3);25;0.001;l2;True;l2;1.0;True;1;balanced;None;None;None;None;None;None;0.09890513420104981;185
(1, 2);5;1.0;None;False;l2;0.01;False;None;balanced;0.582801958046386;0.5945611994355696;0.5809774809444239;0.5893101505019807;0.6022011234505706;0.5899703824757861;0.2155078411102295;9
(2, 2);3;0.1;None;True;l1;10.0;False;None;None;0.058332240670043646;0.07808060439362677;0.06464692820626766;0.07193028834568298;0.0744229288588627;0.06948259809489675;0.10638308525085449;124
(1, 3);25;0.01;None;True;l2;0.1;True;0.1;None;0.430383405591515;0.4246016622181159;0.4307801669406966;0.43414754240982745;0.41957429810292146;0.42789741505261525;0.32953882217407227;63
(2, 2);1;1.0;l2;False;l2;1000.0;True;0.1;None;0.16884390288046738;0.1545114231806385;0.1540999931248694;0.15716861113592126;0.1547162523648855;0.15786803653735643;4.121220636367798;86
