ngram_range;min_df;norm;sublinear_tf;penalty;C;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(1, 2);5;l2;True;l1;0.1;10.0;None;0.6690538256029445;0.6673448842417802;0.6727147753315807;0.6870790457352336;0.6598788480887774;0.6712142758000633;0.376539421081543;89
(1, 3);5;l2;True;l1;1.0;10.0;None;0.7177117272569007;0.7150949366413604;0.7130944977258972;0.7182040091367782;0.7153183420832081;0.7158847025688289;2.379599142074585;21
(1, 3);1;l1;True;l1;1.0;0.1;None;0.6780460668102107;0.685728556663451;0.6772756477234193;0.6981566720578024;0.6762811871596405;0.6830976260829048;1.0582167148590087;74
(1, 1);5;l1;True;l1;0.1;100.0;None;0.5244739666892178;0.5285114021951242;0.5312261818071913;0.5380529317542836;0.5329435135332315;0.5310415991958096;0.13762316703796387;168
(1, 2);5;l2;False;l2;1.0;1.0;None;0.6870572231587093;0.6929289379276051;0.6780642207310349;0.6913623505078882;0.6928374065323386;0.6884500277715153;0.4771812915802002;64
(1, 1);1;l2;True;l1;0.1;100.0;None;0.6402788479510062;0.6397105499909572;0.647899106623485;0.6506342831497841;0.637700407002382;0.6432446389435229;0.212282133102417;139
(1, 2);3;l1;False;l2;1.0;0.1;None;0.6549118157103985;0.6696939626078675;0.6634636435467596;0.6662472374308626;0.6565422128845956;0.6621717744360966;0.462933349609375;114
(1, 1);3;l2;True;l2;0.1;100.0;balanced;0.6716064317333635;0.6778750523005238;0.678426967722693;0.6711944773798335;0.671452096565639;0.6741110051404106;0.20026602745056152;85
(1, 1);5;l2;False;l2;0.1;0.1;balanced;0.6663778024532464;0.67433725873673;0.674186022667673;0.667482943602853;0.6644811547758793;0.6693730364472763;0.1921231746673584;95
(1, 2);1;l1;True;l2;0.1;0.1;balanced;0.5944847328181072;0.5995127643012667;0.5949611505612769;0.600264100115242;0.5927044710589141;0.5963854437709614;0.5764085292816162;152
(1, 3);1;l2;True;l2;1.0;1.0;None;0.7141315924134484;0.7111814295601291;0.7015189435153004;0.7068178016834581;0.7050695631068714;0.7077438660558414;1.7280043125152589;35
(1, 2);1;l1;True;l1;1.0;100.0;None;0.6946004226612414;0.7055241880447668;0.6894389345454945;0.7045423547901305;0.6864671651386911;0.6961146130360649;0.7907020092010498;55
(1, 1);5;l1;True;l2;1.0;0.1;balanced;0.6539850461647287;0.6741105769498107;0.6657918180143464;0.666167182862455;0.6609440501831308;0.6641997348348944;0.20378727912902833;110
(1, 1);3;l1;False;l2;0.1;100.0;None;0.49343872412208084;0.48189695428764484;0.4909463787580326;0.5080755340203315;0.49191198468524755;0.49325391517466743;0.186196231842041;175
(1, 3);1;l1;False;l1;1.0;1.0;None;0.6755886107109625;0.6865038033485533;0.6743491273225537;0.6919907222519279;0.6747056166987294;0.6806275760665454;0.990156888961792;80
(1, 1);3;l2;False;l1;0.1;10.0;balanced;0.6425946300012428;0.6453463169429153;0.6548392868561466;0.6551449273961536;0.6441423460191994;0.6484135014431315;0.23712563514709473;126
(1, 2);3;l1;False;l2;1.0;1.0;None;0.6549116982176643;0.6687530613790802;0.6615207236199501;0.6647650151375618;0.6550723934470004;0.6610045783602514;0.46016316413879393;116
(1, 1);1;l1;False;l1;0.1;0.1;balanced;0.5543022718125492;0.5566646137163518;0.5448983144220222;0.5477766332100864;0.5478079637518573;0.5502899593825734;0.16204195022583007;166
(1, 2);1;l1;True;l1;0.1;100.0;None;0.29614185056710474;0.2764971325923517;0.2929636861701721;0.2863926530477631;0.28270354465655984;0.28693977340679033;0.4818366527557373;200
(1, 1);1;l1;True;l1;0.1;10.0;balanced;0.5563226631430739;0.5575872018030174;0.5516711358713625;0.5504944968736208;0.5525607290623568;0.5537272453506863;0.15831661224365234;165
(1, 1);3;l2;True;l2;1.0;100.0;None;0.6421164054004488;0.6498119116951753;0.6491984166003102;0.6466555513879628;0.6496172660390254;0.6474799102245845;0.26140336990356444;131
(1, 1);1;l2;True;l1;1.0;1.0;None;0.6641748071380749;0.6709773071204882;0.667909837833372;0.6671694648021588;0.6764960454281059;0.66934549246444;1.1779908657073974;96
(1, 3);1;l2;True;l1;1.0;1.0;balanced;0.7264913339047202;0.7412638105734003;0.718395131506624;0.7304399217710251;0.7223983628342505;0.727797712118004;29.874478101730347;4
(1, 1);1;l2;False;l1;1.0;1.0;balanced;0.6613604907948488;0.6761438817279541;0.6739115384023037;0.6742839316381166;0.6732571764118935;0.6717914037950233;1.501457977294922;87
(1, 2);1;l2;False;l1;1.0;1.0;balanced;0.7256442102243936;0.7410492080384551;0.7186138285529295;0.7286274221941513;0.7229095825836037;0.7273688503187066;1.5900138854980468;7
(1, 2);1;l2;False;l1;1.0;10.0;None;0.7228643619271453;0.7306382525199083;0.7171152101121092;0.7313338236857426;0.7251813686780259;0.7254266033845862;1.641199493408203;11
(1, 3);5;l1;True;l1;1.0;0.1;balanced;0.7201462418849316;0.726161007543057;0.7165581513863838;0.72886550844522;0.7190284122527351;0.7221518643024656;0.9315052986145019;12
(1, 2);5;l1;False;l1;0.1;1.0;None;0.4669127485813352;0.45787789483027375;0.45881557321230687;0.4628615073222649;0.4634586287326767;0.46198527053577143;0.2712244987487793;188
(1, 1);5;l2;False;l2;1.0;100.0;balanced;0.6413758456887944;0.6648651964678768;0.6485043781381873;0.6398777578305156;0.6597972422195884;0.6508840840689925;0.24707798957824706;123
(1, 2);5;l1;True;l2;0.1;0.1;balanced;0.6622606984160526;0.6655263342077787;0.6612664074619442;0.6596284986371166;0.6430769493745544;0.6583517776194893;0.33453097343444826;120
(1, 3);5;l1;True;l1;0.1;10.0;balanced;0.501494298557798;0.4871105052027158;0.49748883252004644;0.5063346518794043;0.499146401741478;0.49831493798028853;0.4172964572906494;174
(1, 1);3;l1;False;l2;0.1;0.1;None;0.5008826887490484;0.49086178080585485;0.5000088461645962;0.5164939149983152;0.5033860004372293;0.5023266462310088;0.16495695114135742;172
(1, 2);3;l2;True;l2;1.0;0.1;None;0.6835067278687467;0.7057913580195355;0.6838312306404197;0.6990174926601189;0.6929035970565501;0.6930100812490742;0.48319120407104493;58
(1, 1);1;l1;False;l2;1.0;0.1;None;0.6236203944899212;0.6373849148464811;0.6254010479259725;0.6359383489927427;0.6224770886602086;0.6289643589830651;0.2832180023193359;147
(1, 3);3;l1;True;l1;1.0;10.0;None;0.7051156612566964;0.7159574325919305;0.701802835992316;0.714236175674695;0.6888974928160974;0.705201919666347;0.7205929279327392;45
